"","GridYear","alt_cv","evi_cv"
"1","CAL2017",113.878150671717,25.6867190350828
"2","CHR2017",115.928568356295,44.0108358446009
"3","DEW2017",109.896478861997,26.5644186709329
"4","FMM2017",113.113485222971,22.0828131204731
"5","LLB2017",146.511829679804,40.3593733856887
"6","LRN2017",485.60760058275,37.9395856563549
"7","MAC2017",145.838239410113,30.3469193199784
"8","MCC2017",721.110255092798,59.251308411791
"9","WAB2017",111.330658277956,28.2170641260603
"10","CAL2018",113.878150671717,31.7067595127688
"11","CHR2018",115.928568356295,28.7129994223781
"12","DEW2018",109.896478861997,18.0956435482096
"13","FMM2018",113.113485222971,21.247557508534
"14","LID2018",91.5012651608775,34.796774939982
"15","LLB2018",146.511829679804,47.5889028460223
"16","LRN2018",485.60760058275,26.9628066148704
"17","MAC2018",145.838239410113,27.2663732738828
"18","MCC2018",721.110255092798,34.001222531894
"19","WAB2018",111.330658277956,33.5742804090936
"20","AUB2019",106.870809675888,31.58464512732
"21","CAL2019",113.878150671717,29.3687715551331
"22","CHR2019",115.928568356295,41.3648748133666
"23","DEW2019",109.896478861997,21.4966096226693
"24","FMM2019",113.113485222971,28.7742818127749
"25","LID2019",91.5012651608775,41.6740931934763
"26","LLB2019",146.511829679804,32.2590676755656
"27","LRN2019",485.60760058275,34.8803587312593
"28","MAC2019",145.838239410113,25.8565994576593
"29","MCC2019",721.110255092798,107.744364841862
"30","WAB2019",111.330658277956,29.374802090736
"31","AUB2020",106.870809675888,28.35176897489
"32","CHR2020",115.928568356295,33.0787763391804
"33","DEW2020",109.896478861997,20.4563851716991
"34","FMM2020",113.113485222971,22.1215401330287
"35","LID2020",91.5012651608775,60.3758158362392
"36","LLB2020",146.511829679804,35.360558852415
"37","LRN2020",485.60760058275,33.7674694651461
"38","MAC2020",145.838239410113,31.689982593998
"39","MAL2020",198.451650962164,26.0036661492396
"40","MCC2020",721.110255092798,90.3876634537366
"41","PEL2020",61.8861839539924,22.9553879414871
"42","WAB2020",111.330658277956,39.4811423474348
"43","AUB2021",106.870809675888,24.6164841976684
"44","CHR2021",115.928568356295,32.7024702030463
"45","FMM2021",113.113485222971,26.5396640399063
"46","LID2021",91.5012651608775,40.7597425291268
"47","LLB2021",146.511829679804,37.1172992493523
"48","LRN2021",485.60760058275,36.4552012783204
"49","MAC2021",145.838239410113,32.1372495965299
"50","MAL2021",198.451650962164,30.3506723225711
"51","MCC2021",721.110255092798,61.7283597860253
"52","PEL2021",61.8861839539924,30.1581985945734
"53","WAB2021",111.330658277956,28.4359643871724
